evento,url,fecha,lugar
UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,10/8/2019,"Montevideo, Uruguay"
UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,3/8/2019,"Newark, New Jersey, USA"
UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,27/7/2019,"Edmonton, Alberta, Canada"
UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,20/7/2019,"San Antonio, Texas, USA"
UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,13/7/2019,"Sacramento, California, USA"
UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,6/7/2019,"Las Vegas, Nevada, USA"
UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,29/6/2019,"Minneapolis, Minnesota, USA"
UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,22/6/2019,"Greenville, South Carolina, USA"
UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,8/6/2019,"Chicago, Illinois, USA"
UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,1/6/2019,"Stockholm, Sweden"
UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,18/5/2019,"Rochester, New York, USA"
UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,11/5/2019,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Iaquinta vs. Cowboy,http://ufcstats.com/event-details/351264d11286d09a,4/5/2019,"Ottawa, Ontario, Canada"
UFC Fight Night: Jacare vs. Hermansson,http://ufcstats.com/event-details/c912f676692c353a,27/4/2019,"Sunrise, Florida, USA"
UFC Fight Night: Overeem vs. Oleinik,http://ufcstats.com/event-details/7dcf06c1967801c1,20/4/2019,"Saint Petersburg, Saint Petersburg, Russia"
UFC 236: Holloway vs. Poirier 2,http://ufcstats.com/event-details/b0550072e5f0afa7,13/4/2019,"Atlanta, Georgia, USA"
UFC Fight Night: Barboza vs. Gaethje,http://ufcstats.com/event-details/9649d75defe0dedb,30/3/2019,"Philadelphia, Pennsylvania, USA"
UFC Fight Night: Thompson vs. Pettis,http://ufcstats.com/event-details/487c170da059857d,23/3/2019,"Nashville, Tennessee, USA"
UFC Fight Night: Till vs. Masvidal,http://ufcstats.com/event-details/80eacd4da0617c57,16/3/2019,"London, England, United Kingdom"
UFC Fight Night: Lewis vs. Dos Santos,http://ufcstats.com/event-details/e96d8538d3f9d0ed,9/3/2019,"Wichita, Kansas, USA"
UFC 235: Jones vs. Smith,http://ufcstats.com/event-details/2d5fbe2103f97053,2/3/2019,"Las Vegas, Nevada, USA"
UFC Fight Night: Blachowicz vs. Santos,http://ufcstats.com/event-details/6546af7ab545b90c,23/2/2019,"Prague, Czech Republic"
UFC Fight Night: Ngannou vs. Velasquez,http://ufcstats.com/event-details/a7a79b8efbceaaac,17/2/2019,"Phoenix, Arizona, USA"
